title,Event_Time
ISM Manufacturing PMI,2026-02-02 10:00:00
ADP Non-Farm Employment Change,2026-02-04 8:15:00
ISM Services PMI,2026-02-04 10:00:00
Unemployment Claims,2026-02-05 8:30:00
JOLTS Job Openings,2026-02-05 10:00:00
Prelim UoM Consumer Sentiment,2026-02-06 10:00:00
Core Retail Sales m/m,2026-02-10 8:30:00
Retail Sales m/m,2026-02-10 8:30:00
Average Hourly Earnings m/m,2026-02-11 8:30:00
Non-Farm Employment Change,2026-02-11 8:30:00
Unemployment Rate,2026-02-11 8:30:00
Unemployment Claims,2026-02-12 8:30:00
Core CPI m/m,2026-02-13 8:30:00
CPI m/m,2026-02-13 8:30:00
CPI y/y,2026-02-13 8:30:00
FOMC Meeting Minutes,2026-02-18 14:00:00
Unemployment Claims,2026-02-19 8:30:00
Advance GDP q/q,2026-02-20 8:30:00
Core PCE Price Index m/m,2026-02-20 8:30:00
Flash Manufacturing PMI,2026-02-20 9:45:00
Flash Services PMI,2026-02-20 9:45:00
President Trump Speaks,2026-02-20 12:45:00
President Trump Speaks,2026-02-24 21:00:00
Unemployment Claims,2026-02-26 8:30:00
Core PPI m/m,2026-02-27 8:30:00
PPI m/m,2026-02-27 8:30:00
President Trump Speaks,2026-02-25 2:00:00
ISM Manufacturing PMI,2026-03-02 10:00:00
ADP Non-Farm Employment Change,2026-03-04 8:15:00
ISM Services PMI,2026-03-04 10:00:00
Unemployment Claims,2026-03-05 8:30:00
Average Hourly Earnings m/m,2026-03-06 8:30:00
Core Retail Sales m/m,2026-03-06 8:30:00
Non-Farm Employment Change,2026-03-06 8:30:00
Retail Sales m/m,2026-03-06 8:30:00
Unemployment Rate,2026-03-06 8:30:00
Core CPI m/m,2026-03-11 8:30:00
CPI m/m,2026-03-11 8:30:00
CPI y/y,2026-03-11 8:30:00
Unemployment Claims,2026-03-12 8:30:00
Core PCE Price Index m/m,2026-03-13 8:30:00
Prelim GDP q/q,2026-03-13 8:30:00
JOLTS Job Openings,2026-03-13 10:00:00
Core PPI m/m,2026-03-18 8:30:00
PPI m/m,2026-03-18 8:30:00
Federal Funds Rate,2026-03-18 14:00:00
FOMC Economic Projections,2026-03-18 14:00:00
FOMC Statement,2026-03-18 14:00:00
FOMC Press Conference,2026-03-18 14:30:00
Unemployment Claims,2026-03-19 8:30:00
Flash Manufacturing PMI,2026-03-24 9:45:00
Flash Services PMI,2026-03-24 9:45:00
Unemployment Claims,2026-03-26 8:30:00
Fed Chair Powell Speaks,2026-03-30 10:30:00
JOLTS Job Openings,2026-03-31 10:00:00
ADP Non-Farm Employment Change,2026-04-01 8:15:00
Core Retail Sales m/m,2026-04-01 8:30:00
Retail Sales m/m,2026-04-01 8:30:00
ISM Manufacturing PMI,2026-04-01 10:00:00
Unemployment Claims,2026-04-02 8:30:00
!!Non Scheduled News Event - Candle Spike,2026-04-02 22:53:00
Average Hourly Earnings m/m,2026-04-03 8:30:00
Non-Farm Employment Change,2026-04-03 8:30:00
Unemployment Rate,2026-04-03 8:30:00
President Trump Speaks,2026-04-01 21:00:00
ISM Services PMI,2026-04-06 10:00:00
FOMC Meeting Minutes,2026-04-08 14:00:00
Core PCE Price Index m/m,2026-04-09 8:30:00
Final GDP q/q,2026-04-09 8:30:00
Core CPI m/m,2026-04-10 8:30:00
